a	あ
i	い
u	う
e	え
o	お
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ
tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
wyi	ゐ
wye	ゑ
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ
xya	ゃ
xyi	ぃ
xyu	ゅ
xye	ぇ
xyo	ょ
lka	ヵ
lke	ヶ
xka	ヵ
xke	ヶ
xwa	ゎ
lwa	ゎ
xa	しゃ
xi	ぃ
xu	しゅ
xe	ぇ
xo	しょ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	ちゃ
ci	し
cu	ちゅ
ce	せ
co	ちょ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
ye	いぇ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
nn	ん
-	ー
~	〜
.	。
,	、
z/	・
z.	…
z,	‥
zh	←
zj	ずん
zk	↑
zl	ぞん
z-	〜
z[	『
z]	』
[	「
]	」
t'i	てぃ
t'yu	てゅ
d'i	でぃ
d'yu	でゅ
t'u	とぅ
d'u	どぅ
n'	ん
xn	ん
n	ん
;;	っ
r.	る。
t.	た。
t,	と、
d.	だ。
d,	で、
m.	め。
kt	こと
st	して
krd	けれど
dkrd	だけれど
sr	する
ds	です
ms	ます
mn	もの
mt	また
nr	なる
kn	この
tm	ため
;h	←
;j	↓
;k	↑
;l	→
;g	ドイツ
;d	デュッセルドルフ
gg	っ	g
ff	ふぁい
hh	っ	h
ss	っ	s
tt	っ	t
xx	っ	x
ww	うぇい
kk	っ	k
zz	っ	z
bb	っ	b
cc	っ	c
rr	っ	r
yy	っ	y
pp	っ	p
kyv	きゃん
kym	きぃん
kyj	きゅん
kyd	きぇん
kyl	きょん
gyv	ぎゃん
gym	ぎぃん
gyj	ぎゅん
gyd	ぎぇん
gyl	ぎょん
syv	しゃん
sym	しぃん
syj	しゅん
syd	しぇん
syl	しょん
shv	しゃん
shm	しん
shj	しゅん
shd	しぇん
shl	しょん
zyv	じゃん
zym	じぃん
zyj	じゅん
zyd	じぇん
zyl	じょん
tyv	ちゃん
tym	ちぃん
tyj	ちゅん
tyd	ちぇん
tyl	ちょん
chv	ちゃん
chm	ちん
chj	ちゅん
chd	ちぇん
chl	ちょん
cyv	ちゃん
cym	ちぃん
cyj	ちゅん
cyd	ちぇん
cyl	ちょん
dyv	ぢゃん
dym	ぢぃん
dyj	ぢゅん
dyd	ぢぇん
dyl	ぢょん
tsv	つぁん
tsm	つぃん
tsj	つん
tsd	つぇん
tsl	つぉん
thv	てゃん
thm	てぃん
thj	てゅん
thd	てぇん
thl	てょん
dhv	でゃん
dhm	でぃん
dhj	でゅん
dhd	でぇん
dhl	でょん
twv	とぁん
twm	とぃん
twj	とぅん
twd	とぇん
twl	とぉん
dwv	どぁん
dwm	どぃん
dwj	どぅん
dwd	どぇん
dwl	どぉん
nyv	にゃん
nym	にぃん
nyj	にゅん
nyd	にぇん
nyl	にょん
hyv	ひゃん
hym	ひぃん
hyj	ひゅん
hyd	ひぇん
hyl	ひょん
byv	びゃん
bym	びぃん
byj	びゅん
byd	びぇん
byl	びょん
pyv	ぴゃん
pym	ぴぃん
pyj	ぴゅん
pyd	ぴぇん
pyl	ぴょん
fv	ふぁん
fm	ふぃん
fj	ふん
fd	ふぇん
fl	ふぉん
fyv	ふゃん
fyj	ふゅん
fyl	ふょん
hwv	ふぁん
hwm	ふぃん
hwd	ふぇん
hwl	ふぉん
myv	みゃん
mym	みぃん
myj	みゅん
myd	みぇん
myl	みょん
ryv	りゃん
rym	りぃん
ryj	りゅん
ryd	りぇん
ryl	りょん
wym	ゐん
wyd	ゑん
whv	うぁん
whm	うぃん
whj	うん
whd	うぇん
whl	うぉん
lyv	ゃん
lym	ぃん
lyj	ゅん
lyd	ぇん
lyl	ょん
xyv	ゃん
xym	ぃん
xyj	ゅん
xyd	ぇん
xyl	ょん
lkv	ヵん
lkd	ヶん
xkv	ヵん
xkd	ヶん
xwv	ゎん
lwv	ゎん
xv	ぁん
xm	ぃん
xj	ぅん
xd	ぇん
xl	ぉん
lv	ぁん
lm	ぃん
lj	ぅん
ld	ぇん
ll	ぉん
kv	かん
km	きん
kj	くん
kd	けん
kl	こん
gv	がん
gm	ぎん
gj	ぐん
gd	げん
gl	ごん
sv	さん
sm	しん
sj	すん
sd	せん
sl	そん
cv	かん
cm	しん
cj	くん
cd	せん
cl	こん
zv	ざん
zm	じん
zd	ぜん
jv	じゃん
jm	じん
jj	じゅん
jd	じぇん
jl	じょん
jyv	じゃん
jym	じぃん
jyj	じゅん
jyd	じぇん
jyl	じょん
tv	たん
tj	つん
td	てん
tl	とん
dv	だん
dm	ぢん
dj	づん
dd	でん
dl	どん
nv	なん
nm	にん
nj	ぬん
nd	ねん
nl	のん
hv	はん
hm	ひん
hj	ふん
hd	へん
hl	ほん
bv	ばん
bm	びん
bj	ぶん
bd	べん
bl	ぼん
pv	ぱん
pm	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
mv	まん
mm	みん
mj	むん
md	めん
ml	もん
yv	やん
yj	ゆん
yd	いぇん
yl	よん
rv	らん
rm	りん
rj	るん
rd	れん
rl	ろん
wv	わん
wm	うぃん
wj	うん
wd	うぇん
wl	をん
kq	きゃ
kx	きゅ
k;	きょ
gq	ぎゃ
gx	ぎゅ
g;	ぎょ
sq	しゃ
sx	しゅ
s;	しょ
zq	じゃ
zx	じゅ
z;	じょ
tq	ちゃ
tx	ちゅ
t;	ちょ
dq	ぢゃ
dx	ぢゅ
d;	ぢょ
nq	にゃ
nx	にゅ
n;	にょ
hq	ひゃ
hx	ひゅ
h;	ひょ
bq	びゃ
bx	びゅ
b;	びょ
pq	ぴゃ
px	ぴゅ
p;	ぴょ
mq	みゃ
mx	みゅ
m;	みょ
rq	りゃ
rx	りゅ
r;	りょ
fw	ふぇい
fp	ふぉい
xf	ぁい
xw	ぇい
xp	ぉい
lf	ぁい
lw	ぇい
lp	ぉい
kf	かい
kw	けい
kp	こい
gf	がい
gw	げい
gp	ごい
sf	さい
sw	せい
sp	そい
cf	かい
cw	せい
cp	こい
zf	ざい
zw	ぜい
zp	ぞい
jf	じゃい
jw	じぇい
jp	じょい
tf	たい
tw	てい
tp	とい
df	だい
dw	でい
dp	どい
nf	ない
nw	ねい
np	のい
hf	はい
hw	へい
hp	ほい
bf	ばい
bw	べい
bp	ぼい
pf	ぱい
pw	ぺい
mf	まい
mw	めい
mp	もい
yf	やい
yw	いぇい
yp	よい
rf	らい
rw	れい
rp	ろい
wf	わい
wp	をい
q	ー
v	ん
