a	あ
i	い
u	う
e	え
o	お
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
wyi	ゐ
wye	ゑ
lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ
xya	ゃ
xyi	ぃ
xyu	ゅ
xye	ぇ
xyo	ょ
lka	ヵ
lke	ヶ
xka	ヵ
xke	ヶ
xwa	ゎ
lwa	ゎ
xa	しゃ
xi	ぃ
xu	しゅ
xe	ぇ
xo	しょ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	ちゃ
ci	し
cu	ちゅ
ce	せ
co	ちょ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
ye	いぇ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
nn	ん
-	ー
~	〜
.	。
,	、
z/	・
z.	…
z,	‥
zh	ぞう
zj	↓
zk	↑
zl	ぞん
z-	〜
z[	『
z]	』
[	「
]	」
t'i	てぃ
t'yu	てゅ
d'i	でぃ
d'yu	でゅ
t'u	とぅ
d'u	どぅ
n'	ん
xn	ん
n	ん
;j	っ
r.	る。
t.	た。
t,	と、
d.	だ。
d,	で、
m.	め。
kt	こと
st	して
krd	けれど
dkrd	だけれど
sr	する
ds	です
ms	ます
mn	もの
mt	また
nr	なる
;h	←
;m	↓
;k	↑
;l	→
jj	っ	j
cc	っ	c
pp	っ	p
bb	っ	b
hh	ほう
tt	っ	t
kk	っ	k
zz	っ	z
ff	ふぁい
yy	っ	y
xx	っ	x
ww	うぇい
ss	っ	s
rr	っ	r
kyv	きゃん
kyg	きぃん
kym	きゅん
kyd	きぇん
kyl	きょん
gyv	ぎゃん
gyg	ぎぃん
gym	ぎゅん
gyd	ぎぇん
gyl	ぎょん
syv	しゃん
syg	しぃん
sym	しゅん
syd	しぇん
syl	しょん
zyv	じゃん
zyg	じぃん
zym	じゅん
zyd	じぇん
zyl	じょん
tyv	ちゃん
tyg	ちぃん
tym	ちゅん
tyd	ちぇん
tyl	ちょん
cyv	ちゃん
cyg	ちぃん
cym	ちゅん
cyd	ちぇん
cyl	ちょん
dyv	ぢゃん
dyg	ぢぃん
dym	ぢゅん
dyd	ぢぇん
dyl	ぢょん
tsv	つぁん
tsg	つぃん
tsm	つん
tsd	つぇん
tsl	つぉん
twv	とぁん
twg	とぃん
twm	とぅん
twd	とぇん
twl	とぉん
dwv	どぁん
dwg	どぃん
dwm	どぅん
dwd	どぇん
dwl	どぉん
nyv	にゃん
nyg	にぃん
nym	にゅん
nyd	にぇん
nyl	にょん
hyv	ひゃん
hyg	ひぃん
hym	ひゅん
hyd	ひぇん
hyl	ひょん
byv	びゃん
byg	びぃん
bym	びゅん
byd	びぇん
byl	びょん
pyv	ぴゃん
pyg	ぴぃん
pym	ぴゅん
pyd	ぴぇん
pyl	ぴょん
fv	ふぁん
fg	ふぃん
fm	ふん
fd	ふぇん
fl	ふぉん
fyv	ふゃん
fym	ふゅん
fyl	ふょん
hwv	ふぁん
hwg	ふぃん
hwd	ふぇん
hwl	ふぉん
myv	みゃん
myg	みぃん
mym	みゅん
myd	みぇん
myl	みょん
ryv	りゃん
ryg	りぃん
rym	りゅん
ryd	りぇん
ryl	りょん
wyg	ゐん
wyd	ゑん
lyv	ゃん
lyg	ぃん
lym	ゅん
lyd	ぇん
lyl	ょん
xyv	ゃん
xyg	ぃん
xym	ゅん
xyd	ぇん
xyl	ょん
lkv	ヵん
lkd	ヶん
xkv	ヵん
xkd	ヶん
xwv	ゎん
lwv	ゎん
xv	ぁん
xg	ぃん
xm	ぅん
xd	ぇん
xl	ぉん
lv	ぁん
lg	ぃん
lm	ぅん
ld	ぇん
ll	ぉん
kv	かん
kg	きん
km	くん
kd	けん
kl	こん
gv	がん
gg	ぎん
gm	ぐん
gd	げん
gl	ごん
sv	さん
sg	しん
sm	すん
sd	せん
sl	そん
cv	かん
cg	しん
cm	くん
cd	せん
cl	こん
zv	ざん
zg	じん
zm	ずん
zd	ぜん
jv	じゃん
jg	じん
jm	じゅん
jd	じぇん
jl	じょん
jyv	じゃん
jyg	じぃん
jym	じゅん
jyd	じぇん
jyl	じょん
tv	たん
tg	ちん
tm	つん
td	てん
tl	とん
dv	だん
dg	ぢん
dm	づん
dd	でん
dl	どん
nv	なん
ng	にん
nm	ぬん
nd	ねん
nl	のん
hv	はん
hg	ひん
hm	ふん
hd	へん
hl	ほん
bv	ばん
bg	びん
bm	ぶん
bd	べん
bl	ぼん
pv	ぱん
pg	ぴん
pm	ぷん
pd	ぺん
pl	ぽん
mv	まん
mg	みん
mm	むん
md	めん
ml	もん
yv	やん
ym	ゆん
yd	いぇん
yl	よん
rv	らん
rg	りん
rm	るん
rd	れん
rl	ろん
wv	わん
wg	うぃん
wm	うん
wd	うぇん
wl	をん
kq	きゃ
kx	きゅ
k;	きょ
gq	ぎゃ
gx	ぎゅ
g;	ぎょ
sq	しゃ
sx	しゅ
s;	しょ
zq	じゃ
zx	じゅ
z;	じょ
tq	ちゃ
tx	ちゅ
t;	ちょ
dq	ぢゃ
dx	ぢゅ
d;	ぢょ
nq	にゃ
nx	にゅ
n;	にょ
hq	ひゃ
hx	ひゅ
h;	ひょ
bq	びゃ
bx	びゅ
b;	びょ
pq	ぴゃ
px	ぴゅ
p;	ぴょ
mq	みゃ
mx	みゅ
m;	みょ
rq	りゃ
rx	りゅ
r;	りょ
fw	ふぇい
fp	ふぉい
fh	ふぉう
xf	ぁい
xw	ぇい
xp	ぉい
xh	ぉう
lf	ぁい
lw	ぇい
lp	ぉい
lh	ぉう
kf	かい
kw	けい
kp	こい
kh	こう
gf	がい
gw	げい
gp	ごい
gh	ごう
sf	さい
sw	せい
sp	そい
sh	そう
cf	かい
cw	せい
cp	こい
ch	こう
zf	ざい
zw	ぜい
zp	ぞい
jf	じゃい
jw	じぇい
jp	じょい
jh	じょう
tf	たい
tw	てい
tp	とい
th	とう
df	だい
dw	でい
dp	どい
dh	どう
nf	ない
nw	ねい
np	のい
nh	のう
hf	はい
hw	へい
hp	ほい
bf	ばい
bw	べい
bp	ぼい
bh	ぼう
pf	ぱい
pw	ぺい
ph	ぽう
mf	まい
mw	めい
mp	もい
mh	もう
yf	やい
yw	いぇい
yp	よい
yh	よう
rf	らい
rw	れい
rp	ろい
rh	ろう
wf	わい
wp	をい
wh	をう
q	ー
v	ん
