a	あ
k	い
u	う
d	え
l	お
eya	きゃ
eyk	きぃ
eyu	きゅ
eyd	きぇ
eyl	きょ
gya	ぎゃ
gyk	ぎぃ
gyu	ぎゅ
gyd	ぎぇ
gyl	ぎょ
sya	しゃ
syk	しぃ
syu	しゅ
syd	しぇ
syl	しょ
sha	しゃ
shk	し
shu	しゅ
shd	しぇ
shl	しょ
zya	じゃ
zyk	じぃ
zyu	じゅ
zyd	じぇ
zyl	じょ
;ya	ちゃ
;yk	ちぃ
;yu	ちゅ
;yd	ちぇ
;yl	ちょ
cha	ちゃ
chk	ち
chu	ちゅ
chd	ちぇ
chl	ちょ
cya	ちゃ
cyk	ちぃ
cyu	ちゅ
cyd	ちぇ
cyl	ちょ
tya	ぢゃ
tyk	ぢぃ
tyu	ぢゅ
tyd	ぢぇ
tyl	ぢょ
;sa	つぁ
;sk	つぃ
;su	つ
;sd	つぇ
;sl	つぉ
;ha	てゃ
;hk	てぃ
;hu	てゅ
;hd	てぇ
;hl	てょ
tha	でゃ
thk	でぃ
thu	でゅ
thd	でぇ
thl	でょ
;wa	とぁ
;wk	とぃ
;wu	とぅ
;wd	とぇ
;wl	とぉ
twa	どぁ
twk	どぃ
twu	どぅ
twd	どぇ
twl	どぉ
nya	にゃ
nyk	にぃ
nyu	にゅ
nyd	にぇ
nyl	にょ
hya	ひゃ
hyk	ひぃ
hyu	ひゅ
hyd	ひぇ
hyl	ひょ
bya	びゃ
byk	びぃ
byu	びゅ
byd	びぇ
byl	びょ
pya	ぴゃ
pyk	ぴぃ
pyu	ぴゅ
pyd	ぴぇ
pyl	ぴょ
fa	ふぁ
fk	ふぃ
fu	ふ
fd	ふぇ
fl	ふぉ
fya	ふゃ
fyu	ふゅ
fyl	ふょ
hwa	ふぁ
hwk	ふぃ
hwd	ふぇ
hwl	ふぉ
mya	みゃ
myk	みぃ
myu	みゅ
myd	みぇ
myl	みょ
rya	りゃ
ryk	りぃ
ryu	りゅ
ryd	りぇ
ryl	りょ
wyk	ゐ
wyd	ゑ
wha	うぁ
whk	うぃ
whu	う
whd	うぇ
whl	うぉ
iya	ゃ
iyk	ぃ
iyu	ゅ
iyd	ぇ
iyl	ょ
xya	ゃ
xyk	ぃ
xyu	ゅ
xyd	ぇ
xyl	ょ
iea	ヵ
ied	ヶ
xea	ヵ
xed	ヶ
xwa	ゎ
iwa	ゎ
xa	しゃ
xk	ぃ
xu	しゅ
xd	ぇ
xl	しょ
ia	ぁ
ik	ぃ
iu	ぅ
id	ぇ
il	ぉ
ea	か
ek	き
eu	く
ed	け
el	こ
ga	が
gk	ぎ
gu	ぐ
gd	げ
gl	ご
sa	さ
sk	し
su	す
sd	せ
sl	そ
ca	ちゃ
ck	し
cu	ちゅ
cd	せ
cl	ちょ
za	ざ
zk	じ
zu	ず
zd	ぜ
zl	ぞ
ja	じゃ
jk	じ
ju	じゅ
jd	じぇ
jl	じょ
jya	じゃ
jyk	じぃ
jyu	じゅ
jyd	じぇ
jyl	じょ
;a	た
;k	ち
;u	つ
;d	て
;l	と
ta	だ
tk	ぢ
tu	づ
td	で
tl	ど
na	な
nk	に
nu	ぬ
nd	ね
nl	の
ha	は
hk	ひ
hu	ふ
hd	へ
hl	ほ
ba	ば
bk	び
bu	ぶ
bd	べ
bl	ぼ
pa	ぱ
pk	ぴ
pu	ぷ
pd	ぺ
pl	ぽ
ma	ま
mk	み
mu	む
md	め
ml	も
ya	や
yu	ゆ
yd	いぇ
yl	よ
ra	ら
rk	り
ru	る
rd	れ
rl	ろ
wa	わ
wk	うぃ
wu	う
wd	うぇ
wl	を
nn	ん
-	ー
~	〜
.	。
,	、
z/	・
z.	…
z,	‥
zh	←
zj	ずん
ze	↑
zi	ぞん
z-	〜
z[	『
z]	』
[	「
]	」
;'k	てぃ
;'yu	てゅ
t'k	でぃ
t'yu	でゅ
;'u	とぅ
t'u	どぅ
n'	ん
xn	ん
n	ん
oo	っ
r.	る。
;.	た。
;,	と、
t.	だ。
t,	で、
m.	め。
e;	こと
s;	して
ert	けれど
tert	だけれど
sr	する
ts	です
ms	ます
mn	もの
m;	また
nr	なる
en	この
;m	ため
oh	←
oj	↓
oe	↑
oi	→
og	ドイツ
ot	デュッセルドルフ
gg	っ	g
ff	ふぁい
hh	っ	h
ss	っ	s
;;	っ	;
xx	っ	x
ww	うぇい
ee	っ	e
zz	っ	z
bb	っ	b
cc	っ	c
rr	っ	r
yy	っ	y
pp	っ	p
eyv	きゃん
eym	きぃん
eyj	きゅん
eyt	きぇん
eyi	きょん
gyv	ぎゃん
gym	ぎぃん
gyj	ぎゅん
gyt	ぎぇん
gyi	ぎょん
syv	しゃん
sym	しぃん
syj	しゅん
syt	しぇん
syi	しょん
shv	しゃん
shm	しん
shj	しゅん
sht	しぇん
shi	しょん
zyv	じゃん
zym	じぃん
zyj	じゅん
zyt	じぇん
zyi	じょん
;yv	ちゃん
;ym	ちぃん
;yj	ちゅん
;yt	ちぇん
;yi	ちょん
chv	ちゃん
chm	ちん
chj	ちゅん
cht	ちぇん
chi	ちょん
cyv	ちゃん
cym	ちぃん
cyj	ちゅん
cyt	ちぇん
cyi	ちょん
tyv	ぢゃん
tym	ぢぃん
tyj	ぢゅん
tyt	ぢぇん
tyi	ぢょん
;sv	つぁん
;sm	つぃん
;sj	つん
;st	つぇん
;si	つぉん
;hv	てゃん
;hm	てぃん
;hj	てゅん
;ht	てぇん
;hi	てょん
thv	でゃん
thm	でぃん
thj	でゅん
tht	でぇん
thi	でょん
;wv	とぁん
;wm	とぃん
;wj	とぅん
;wt	とぇん
;wi	とぉん
twv	どぁん
twm	どぃん
twj	どぅん
twt	どぇん
twi	どぉん
nyv	にゃん
nym	にぃん
nyj	にゅん
nyt	にぇん
nyi	にょん
hyv	ひゃん
hym	ひぃん
hyj	ひゅん
hyt	ひぇん
hyi	ひょん
byv	びゃん
bym	びぃん
byj	びゅん
byt	びぇん
byi	びょん
pyv	ぴゃん
pym	ぴぃん
pyj	ぴゅん
pyt	ぴぇん
pyi	ぴょん
fv	ふぁん
fm	ふぃん
fj	ふん
ft	ふぇん
fi	ふぉん
fyv	ふゃん
fyj	ふゅん
fyi	ふょん
hwv	ふぁん
hwm	ふぃん
hwt	ふぇん
hwi	ふぉん
myv	みゃん
mym	みぃん
myj	みゅん
myt	みぇん
myi	みょん
ryv	りゃん
rym	りぃん
ryj	りゅん
ryt	りぇん
ryi	りょん
wym	ゐん
wyt	ゑん
whv	うぁん
whm	うぃん
whj	うん
wht	うぇん
whi	うぉん
iyv	ゃん
iym	ぃん
iyj	ゅん
iyt	ぇん
iyi	ょん
xyv	ゃん
xym	ぃん
xyj	ゅん
xyt	ぇん
xyi	ょん
iev	ヵん
iet	ヶん
xev	ヵん
xet	ヶん
xwv	ゎん
iwv	ゎん
xv	ぁん
xm	ぃん
xj	ぅん
xt	ぇん
xi	ぉん
iv	ぁん
im	ぃん
ij	ぅん
it	ぇん
ii	ぉん
ev	かん
em	きん
ej	くん
et	けん
ei	こん
gv	がん
gm	ぎん
gj	ぐん
gt	げん
gi	ごん
sv	さん
sm	しん
sj	すん
st	せん
si	そん
cv	かん
