hh	っ	h
aa	っ	a
tt	っ	t
;;	っ	;
ll	っ	l
ff	っ	f
ss	っ	s
ee	っ	e
jj	っ	j
o	あ
i	い
u	う
y	え
p	お
g	ん
,	、
.	。
q	ー
as	を
af	わ
at	わ
;j	は
;h	ひ
;n	ひ
;m	ひ
;e	ふ
;i	ふ
;u	へ
;o	へ
;l	ほ
sf	ま
sg	み
sd	み
sv	む
sb	む
sr	む
st	め
sq	め
sa	も
lj	さ
lh	し
li	し
ln	す
lm	す
lu	す
le	せ
lp	せ
l;	そ
tf	や
tg	ゆ
ta	よ
ts	よ
ej	か
eh	き
en	く
em	く
el	け
ep	け
e;	こ
ft	ら
fd	り
fs	る
fw	る
fq	れ
fa	ろ
je	た
ji	ち
jo	つ
jl	つ
jp	て
j;	と
he	な
hi	に
hl	ぬ
ho	ね
h;	の
hp	の
hf	ぱ
hg	ぴ
ha	ぷ
hs	ぺ
ht	ぽ
jf	だ
jg	ぢ
ja	づ
js	で
jt	ど
ef	が
eg	ぎ
ea	ぐ
es	げ
et	ご
lf	ざ
lg	じ
la	ず
ls	ぜ
lt	ぞ
;f	ば
;g	び
;a	ぶ
;s	べ
;t	ぼ
/f	ぁ
/g	ぃ
/a	ぅ
/s	ぇ
/t	ぉ
ex	きゃ
ec	きゅ
ev	きょ
lx	しゃ
lc	しゅ
lv	しょ
jx	ちゃ
jc	ちゅ
jv	ちょ
hx	にゃ
hc	にゅ
hv	にょ
;x	ひゃ
;c	ひゅ
;v	ひょ
/x	ゃ
/c	ゅ
/v	ょ
sm	みゃ
s,	みゅ
s.	みょ
fm	りゃ
f,	りゅ
f.	りょ
/m	ゃ
/,	ゅ
/.	ょ
hw	ぴゃ
hd	ぴゅ
hr	ぴょ
jw	ぢゃ
jd	ぢゅ
jr	ぢょ
ew	ぎゃ
ed	ぎゅ
er	ぎょ
lw	じゃ
ld	じゅ
lr	じょ
;w	びゃ
;d	びゅ
;r	びょ
/w	ゃ
/d	ゅ
/r	ょ
zh	←
zj	↓
ze	↑
zl	→
z.	…
z,	‥
